temperature,humidity,pressure,wind_speed,sensor_1,sensor_2,sensor_3,sensor_4
27.49,73,1024,11,30.41,466.57,883.38,-15.28
39.01,47,1012,6,24.8,382.88,430.17,-7.12
34.64,54,1023,15,68.31,419.41,446.33,26.87
31.97,56,1015,15,67.26,185.42,361.01,-42.64
23.12,45,1013,13,43.33,179.33,162.91,40.86
23.12,61,1007,19,1.85,131.9,399.02,14.14
21.16,62,1021,22,7.47,125.73,296.71,49.08
37.32,77,992,20,51.85,74.47,150.38,-43.23
32.02,85,997,20,88.5,103.76,648.09,-5.63
34.16,88,1022,14,63.23,431.96,767.65,15.97
20.41,45,1010,24,77.84,45.23,468.27,-27.12
39.4,59,992,16,81.92,370.73,367.44,-30.02
36.65,72,1003,18,30.63,342.74,106.14,-49.58
24.25,65,1023,18,70.96,132.83,950.27,-34.79
23.64,87,993,20,37.38,259.61,678.75,-17.57
23.67,77,995,18,72.92,435.05,814.22,-36.0
26.08,58,1011,10,6.43,124.71,197.82,-24.04
30.5,43,1028,13,93.78,2.6,327.13,23.78
28.64,47,1014,8,26.32,345.19,623.63,5.89
25.82,67,994,14,47.82,161.39,850.31,-14.78
32.24,74,1012,17,79.07,137.65,122.17,-41.57
22.79,67,1014,6,1.17,280.52,988.49,-14.65
25.84,82,1003,14,1.43,373.77,941.47,1.47
27.33,59,1022,5,88.38,338.02,347.14,-16.73
29.12,65,1014,11,90.33,251.75,373.0,24.22
35.7,87,1005,10,2.09,211.5,984.14,-48.8
23.99,71,1023,20,44.59,495.25,535.99,42.28
30.28,69,1019,18,18.27,127.15,841.44,-20.41
31.85,61,1004,14,89.95,25.45,562.64,-45.5
20.93,71,1015,12,63.39,28.96,972.85,8.73
32.15,59,1016,14,9.31,199.62,562.76,-14.68
23.41,53,1010,6,43.92,223.45,552.12,-33.38
21.3,51,999,17,81.91,169.78,453.79,-13.95
38.98,40,996,7,79.2,34.32,482.75,1.63
39.31,82,997,16,30.94,60.18,480.23,23.52
36.17,82,1028,5,43.12,182.91,155.44,-19.64
26.09,62,1021,8,24.97,50.78,260.09,14.69
21.95,67,1013,23,96.53,190.1,241.43,34.52
33.68,61,1011,11,34.94,385.09,888.71,26.84
28.8,88,992,21,1.61,184.9,573.98,18.14
22.44,49,1009,8,47.91,472.71,896.42,-41.41
29.9,75,1021,14,58.02,365.23,407.02,0.62
20.69,64,1025,8,10.92,283.55,453.19,-21.1
38.19,71,1019,21,38.02,332.24,594.97,21.37
25.18,62,994,24,1.57,222.44,413.46,13.5
33.25,58,993,20,4.84,395.41,972.88,18.15
26.23,85,1017,6,74.74,12.65,868.63,-5.27
30.4,56,998,16,56.98,441.7,386.49,0.66
30.93,88,1022,18,54.41,365.16,122.09,44.08
23.7,89,993,13,17.12,102.17,614.43,0.96
39.39,81,1028,8,87.17,450.74,724.92,37.42
35.5,89,1023,12,4.75,278.48,336.32,-29.4
38.79,63,1023,20,65.48,484.51,955.81,-49.48
37.9,45,1005,9,26.46,306.22,511.24,-40.91
31.96,58,1021,9,91.77,429.3,458.75,-26.54
38.44,58,1011,23,90.93,306.73,464.25,1.63
21.77,84,991,16,73.13,61.17,802.59,-23.38
23.92,51,997,16,13.69,24.13,484.89,-14.31
20.9,71,1013,5,73.94,467.67,715.05,-32.6
26.51,64,1003,20,22.07,110.97,123.17,12.42
27.77,71,1017,19,54.14,70.95,241.54,-10.56
25.43,43,993,17,42.44,382.84,275.64,-0.57
36.57,78,1023,16,97.13,135.21,944.9,21.11
27.14,41,1016,21,68.15,145.62,668.21,35.22
25.62,62,1023,15,57.54,328.03,847.61,17.53
30.85,46,994,10,52.42,441.58,933.67,-33.65
22.82,59,1028,7,45.45,73.33,462.63,30.62
36.04,75,1002,5,40.43,463.4,938.8,-32.68
21.49,56,991,19,3.95,416.7,168.7,-48.38
39.74,61,1027,11,93.08,73.77,135.66,-32.01
35.44,46,1006,8,25.42,435.23,571.09,13.15
23.97,79,1012,12,15.2,111.87,922.99,-9.3
20.11,62,1019,14,6.83,178.64,254.44,-18.94
36.31,53,1017,15,14.63,12.1,310.91,7.39
34.14,49,1029,6,99.91,430.1,823.09,-35.64
34.58,85,1004,7,23.17,311.29,114.25,-14.1
35.43,40,1013,5,75.82,141.78,143.99,47.33
21.48,85,1021,19,36.38,11.82,106.34,47.5
27.17,56,991,9,57.64,279.08,987.75,42.92
22.32,79,1003,16,25.78,377.28,626.35,-18.46
37.26,53,1018,12,68.62,184.36,874.31,-23.76
32.47,88,996,14,64.16,155.9,923.95,-25.35
26.62,56,1018,24,78.22,482.97,838.81,-1.63
21.27,49,995,22,57.92,152.91,935.66,41.58
26.22,57,1025,5,59.51,21.25,658.14,18.02
26.5,74,1005,22,4.84,358.32,791.93,-17.75
34.59,49,1018,24,61.52,56.74,678.73,-25.86
32.75,82,1017,17,33.3,122.66,511.78,24.89
37.74,59,1004,8,46.15,130.54,328.32,-0.75
29.44,55,996,15,87.16,341.78,634.06,4.0
22.39,56,1007,8,23.34,7.26,751.34,-34.54
34.26,78,1019,5,80.46,343.02,215.96,-22.5
35.22,89,1011,8,10.97,298.87,374.41,36.75
31.23,67,1005,6,80.23,243.6,720.15,21.36
35.42,48,1024,9,91.38,484.75,478.97,16.46
29.88,59,1016,13,99.2,295.46,344.34,-5.34
30.45,45,991,8,29.25,424.92,710.93,-16.89
28.55,52,1020,12,45.9,409.4,801.66,18.03
20.51,48,1017,22,87.38,486.55,418.26,-23.81
22.16,87,1019,8,93.4,222.42,708.9,6.73
20.63,72,1026,11,18.2,148.06,711.13,31.91
32.73,74,1019,10,80.57,424.65,193.39,23.69
26.29,61,1017,5,12.58,117.01,479.34,-37.49
30.17,62,1016,14,85.06,486.43,276.48,3.38
38.15,85,991,12,55.98,374.35,129.67,-9.5
24.99,64,996,15,6.56,109.08,879.52,18.79
28.21,75,996,8,93.12,407.82,568.55,-22.38
35.11,46,1008,15,12.25,31.84,423.09,31.05
24.58,54,1022,19,77.19,179.83,766.62,-17.35
21.54,68,1023,13,60.28,344.58,398.85,21.1
25.8,47,1014,8,78.85,245.52,169.47,-15.53
23.22,76,1020,21,74.68,152.79,958.6,-42.75
38.59,49,1028,9,9.8,131.32,282.49,-49.93
36.16,49,1029,20,52.1,380.17,532.98,25.49
32.67,89,998,18,85.17,87.29,258.95,4.04
37.43,84,1027,16,62.14,274.65,366.8,18.93
36.07,52,1012,12,30.42,52.86,700.0,6.96
23.73,58,1001,6,89.79,442.64,932.66,-33.01
37.85,87,1019,9,78.05,29.17,289.29,27.93
30.79,88,995,24,97.33,219.38,887.19,-30.57
36.15,62,1003,13,93.2,133.2,672.17,27.07
37.92,54,1021,23,96.61,183.28,547.27,-16.41
26.36,56,994,12,0.83,489.91,597.06,-28.51
22.2,49,1000,14,92.17,28.7,956.27,-1.93
24.56,79,997,18,30.73,266.46,614.36,4.89
28.54,85,1017,9,84.98,138.43,684.23,35.48
36.36,72,1001,18,1.67,283.05,582.37,-45.89
37.21,84,1013,7,71.47,394.75,792.01,3.57
20.14,57,1026,23,43.83,317.58,643.74,37.3
30.21,43,1009,19,99.2,434.34,114.9,43.78
